Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-06-23,3.704982970260666,4.2730801705887895,3.6432332540896546,4.248380661010742,43574400,0.0,0.0
2004-06-24,4.334830739781461,4.369410907998826,4.075482069272944,4.139701843261719,8887200,0.0,0.0
2004-06-25,4.077951872863617,4.13723155200051,3.9001125998964294,3.9025826454162598,6710000,0.0,0.0
2004-06-28,3.951982259750366,4.003851800775351,3.813662777014244,3.951982259750366,2270800,0.0,0.0
2004-06-29,3.9519827296555388,4.12488216252319,3.9099928943084263,4.050782203674316,2112000,0.0,0.0
2004-06-30,4.0507822391947546,4.184161883624472,3.9593929015934064,3.9692726135253906,2087600,0.0,0.0
2004-07-01,3.971742065034316,4.001382138621634,3.927282190209833,3.9593923091888428,1754800,0.0,0.0
2004-07-02,3.9766824251869157,4.1940412521362305,3.964332197391886,4.1940412521362305,993200,0.0,0.0
2004-07-06,4.181691912408389,4.198981761932373,4.070542206735541,4.198981761932373,1216800,0.0,0.0
2004-07-07,4.174281448688004,4.174281448688004,3.9643322827805445,4.028552055358887,1787600,0.0,0.0
2004-07-08,4.028551841158147,4.028551841158147,3.868002653805312,3.8877625465393066,2179200,0.0,0.0
2004-07-09,3.937162690774459,4.092772039021429,3.9272827433725808,4.050782203674316,596800,0.0,0.0
2004-07-12,4.100182083750068,4.156991721140247,3.989032383540553,4.137231826782227,780800,0.0,0.0
2004-07-13,4.134761631937333,4.134761631937333,3.9717423915863037,3.9717423915863037,1674000,0.0,0.0
2004-07-14,3.9643323455485526,3.9643323455485526,3.848243026614849,3.865532875061035,2366000,0.0,0.0
2004-07-15,3.890232833302953,3.9025828259168054,3.690163612516791,3.7889633178710938,1806000,0.0,0.0
2004-07-16,3.803782830787128,4.050781722021526,3.6951034222888524,3.951982259750366,3278800,0.0,0.0
2004-07-19,3.9643319868281064,3.993972060848839,3.9099924007552564,3.9544522762298584,954800,0.0,0.0
2004-07-20,3.9544521262325443,3.996441954686609,3.8358925413162175,3.966801881790161,2245200,0.0,0.0
2004-07-21,3.9766827282776367,3.9766827282776367,2.7293381282484503,2.8898873329162598,25415200,0.0,0.0
2004-07-22,2.8528375708686706,3.2554458384189604,2.7910878409172124,3.2060458660125732,9824800,0.0,0.0
2004-07-23,3.1986355504574457,3.3344849858824754,3.149235820000116,3.220865488052368,1674400,0.0,0.0
2004-07-26,3.346835224430457,3.346835224430457,3.181345938515542,3.2801454067230225,1286000,0.0,0.0
2004-07-27,3.304845332716412,3.3171953249116064,3.2356857062024367,3.24556565284729,751200,0.0,0.0
2004-07-28,3.2233356816703447,3.265325513378853,3.112186224141679,3.2085156440734863,1534800,0.0,0.0
2004-07-29,3.2109862581859803,3.2974359824366837,3.198636263927802,3.201106309890747,908000,0.0,0.0
2004-07-30,3.201105447682148,3.2603851214867374,3.099835946043519,3.2134554386138916,815200,0.0,0.0
2004-08-02,3.2060456596506284,3.2307456442639704,3.1047761467376453,3.1640560626983643,1297600,0.0,0.0
2004-08-03,3.1615858887666146,3.233215558569358,2.961516681079504,2.996096611022949,2944400,0.0,0.0
2004-08-04,2.9960968186510697,3.0010366743816053,2.9516369392936626,2.9590468406677246,2746800,0.0,0.0
2004-08-05,2.961516761207371,2.961516761207371,2.6379483333825164,2.6922879219055176,3030400,0.0,0.0
2004-08-06,2.6922875919387006,2.716987573190295,2.645357910228446,2.6601779460906982,1797200,0.0,0.0
2004-08-09,2.7046378853071182,2.7293378693234955,2.6824079468036794,2.714517831802368,1121600,0.0,0.0
2004-08-10,2.7169880867004395,2.726868033957089,2.68734824493049,2.7169880867004395,733200,0.0,0.0
2004-08-11,2.70463828200278,2.70463828200278,2.615718750503493,2.623128652572632,628400,0.0,0.0
2004-08-12,2.6478283709719985,2.6502981810395467,2.4502291966206826,2.4675190448760986,1578000,0.0,0.0
2004-08-13,2.4675187989200467,2.482338835630691,2.339079501505932,2.3687193393707275,2496000,0.0,0.0
2004-08-16,2.371189476177886,2.4329391996663046,2.2229900455830798,2.400829315185547,2171200,0.0,0.0
2004-08-17,2.4403491947667506,2.7145178928424154,2.4403491947667506,2.709578037261963,2968000,0.0,0.0
2004-08-18,2.692287900581748,3.0010365238391277,2.6379483124891334,2.951636791229248,1697600,0.0,0.0
2004-08-19,2.951637086278501,3.0257368103786724,2.889887355454446,3.005976915359497,1309600,0.0,0.0
2004-08-20,3.0874862095670483,3.2603853901915025,2.936816967340518,3.1121861934661865,4034800,0.0,0.0
2004-08-23,3.1368860002519794,3.1986357255937765,3.0529063360980944,3.0874862670898438,1127600,0.0,0.0
2004-08-24,3.1121861658582515,3.156645806703197,3.0677262894568047,3.1541759967803955,1072400,0.0,0.0
2004-08-25,3.1615865167098134,3.223336252444159,3.087486786717289,3.201106309890747,1200800,0.0,0.0
2004-08-26,3.203575577742567,3.2109854782750764,3.164055794160528,3.1862854957580566,471200,0.0,0.0
2004-08-27,3.210985690243382,3.2628554685080355,3.1862857060958305,3.248035430908203,463600,0.0,0.0
2004-08-30,3.265325695044152,3.2752056421395563,3.225805906662534,3.2529757022857666,606000,0.0,0.0
2004-08-31,3.2603856349213545,3.272735627797934,3.136886177268602,3.2109858989715576,874400,0.0,0.0
2004-09-01,3.260385129999546,3.292495012283325,3.2505051843396515,3.292495012283325,512800,0.0,0.0
2004-09-02,3.2801452660419566,3.4505746358360128,3.2801452660419566,3.430814743041992,998800,0.0,0.0
2004-09-03,3.4332847311891035,3.443164678098963,3.3641251028200876,3.3962349891662598,924000,0.0,0.0
2004-09-07,3.398704547877914,3.398704547877914,3.3097848028714774,3.317194938659668,1192000,0.0,0.0
2004-09-08,3.2924955192705423,3.2924955192705423,3.2480356391767233,3.270265579223633,550000,0.0,0.0
2004-09-09,3.270265550813594,3.2850855892349604,3.203575966808745,3.2529757022857666,2529200,0.0,0.0
2004-09-10,3.2480354939582057,3.5320843749429054,3.2480354939582057,3.5197343826293945,2795200,0.0,0.0
2004-09-13,3.5567841535871594,3.828483044517455,3.5567841535871594,3.7543833255767822,4345200,0.0,0.0
2004-09-14,3.7543833541840637,3.9742124670865717,3.704983619699375,3.9297525882720947,2052000,0.0,0.0
2004-09-15,3.9322230114768346,4.233561538547699,3.877883180547442,4.0359625816345215,4147200,0.0,0.0
2004-09-16,4.038432390033375,4.073012087681696,3.966802477918371,4.016202449798584,2518400,0.0,0.0
2004-09-17,4.001382005923245,4.003851580120052,3.665463381601035,3.8704724311828613,4487600,0.0,0.0
2004-09-20,3.8902325084457656,3.9766822139671594,3.8754124714353995,3.9544522762298584,597200,0.0,0.0
2004-09-21,3.964331672075407,4.17428080564021,3.964331672075407,4.0409016609191895,2327200,0.0,0.0
2004-09-22,4.026082252695208,4.026082252695208,3.905053072628321,3.9692726135253906,2076800,0.0,0.0
2004-09-23,3.9692724987637167,3.9692724987637167,3.8655329353554393,3.8803529739379883,1117600,0.0,0.0
2004-09-24,3.942102672694386,4.161931790722314,3.9025828841852124,3.961862802505493,2796000,0.0,0.0
2004-09-27,3.9519825292250097,3.9692723774122842,3.830953120801057,3.850713014602661,1380000,0.0,0.0
2004-09-28,3.833423012949121,3.838362868423504,3.6481738393079164,3.7049834728240967,1862800,0.0,0.0
2004-09-29,3.717333612929242,3.9198726421339285,3.717333612929242,3.890232801437378,1700400,0.0,0.0
2004-09-30,3.890232681887748,3.9297524682686777,3.858122796564116,3.860592842102051,4521200,0.0,0.0
2004-10-01,3.8605924544887555,4.144641302806349,3.8334226629689097,4.1125311851501465,2613600,0.0,0.0
2004-10-04,4.236031421235335,4.406460809454045,4.090302019457649,4.166872024536133,3153200,0.0,0.0
2004-10-05,4.16934150573735,4.228621660312476,4.100182110588112,4.174281597137451,1360800,0.0,0.0
2004-10-06,4.174281039899063,4.260730743408203,4.073011535281008,4.260730743408203,1433600,0.0,0.0
2004-10-07,4.421280498618462,4.648519520000067,4.349651058014904,4.569479942321777,5887200,0.0,0.0
2004-10-08,4.559599021751265,4.559599021751265,4.315070191209705,4.352120399475098,2528400,0.0,0.0
2004-10-11,4.357060727866371,4.532430203220552,4.347181016204288,4.490440368652344,1064800,0.0,0.0
2004-10-12,4.4459803378174865,4.542309761047363,4.364470717135354,4.542309761047363,897200,0.0,0.0
2004-10-13,4.594179928124504,4.7497890377895065,4.547250002210628,4.569479942321777,1728000,0.0,0.0
2004-10-14,4.569479057916075,4.63122877491494,4.408929887941614,4.443509578704834,1047200,0.0,0.0
2004-10-15,4.46080041086589,4.505260292318173,4.347181132588326,4.441040515899658,946800,0.0,0.0
2004-10-18,4.421280649128156,4.52008012458936,4.359530918075771,4.517610549926758,692800,0.0,0.0
2004-10-19,4.532429090473803,4.554659025147176,4.475619466803153,4.50278902053833,622400,0.0,0.0
2004-10-20,4.478090227729725,4.510200351263599,4.421280589001244,4.483030319213867,760800,0.0,0.0
2004-10-21,4.487970142197113,4.61393964082808,4.45586049169731,4.5447797775268555,721600,0.0,0.0
2004-10-22,4.569479382054107,4.589239274050903,4.260730775158559,4.297780513763428,1116800,0.0,0.0
2004-10-25,4.33483087248096,4.534900337571259,4.33483087248096,4.483030319213867,1056000,0.0,0.0
2004-10-26,4.4706801513376115,4.557129859924316,4.394110624812479,4.557129859924316,476800,0.0,0.0
2004-10-27,4.569479564546477,4.838708398200689,4.483029856940565,4.759668827056885,1922800,0.0,0.0
2004-10-28,4.767078270697269,5.088177102426468,4.6929787939744445,4.977027416229248,2500800,0.0,0.0
2004-10-29,4.964678106641397,5.019017696380615,4.794248729527314,5.019017696380615,1799600,0.0,0.0
2004-11-01,5.063477296399331,5.433975635160257,5.038777312926002,5.3598761558532715,3213600,0.0,0.0
2004-11-02,5.557474774531579,5.557474774531579,5.377165706025002,5.424095153808594,3029600,0.0,0.0
2004-11-03,5.485845265556379,5.606875139430216,5.310476275162017,5.352466106414795,1917600,0.0,0.0
2004-11-04,5.335176153716307,5.3672858023402075,5.0634772786861575,5.083237171173096,1398400,0.0,0.0
2004-11-05,5.144987019231497,5.275896604587355,5.075827158288457,5.152397155761719,1574800,0.0,0.0
2004-11-08,5.152397087778594,5.152397087778594,5.00419765692064,5.0387773513793945,1014400,0.0,0.0
2004-11-09,4.865878611332611,4.952327851092476,4.720149219861662,4.823888778686523,1935600,0.0,0.0
2004-11-10,4.853528383429042,4.853528383429042,4.757198961346322,4.823888778686523,779200,0.0,0.0
2004-11-11,4.82388921478886,4.9745582399294035,4.804129319469785,4.944918632507324,1007200,0.0,0.0
2004-11-12,4.989378092383504,5.001727849245071,4.816478669643402,4.939978122711182,556400,0.0,0.0
2004-11-15,4.959737553815838,5.137576580047607,4.939977662012308,5.137576580047607,2122000,0.0,0.0
2004-11-16,5.137576246767495,5.236376170488869,5.014076813228728,5.08570671081543,2562400,0.0,0.0
2004-11-17,5.137576940650995,5.1746271526070045,5.006667824931546,5.147457122802734,1586400,0.0,0.0
2004-11-18,4.692979024944524,4.692979024944524,4.27555075870887,4.401520252227783,9432400,0.0,0.0
2004-11-19,4.495380799596269,4.557130533265926,4.211331647825382,4.384231090545654,3152800,0.0,0.0
2004-11-22,4.38423004604374,4.470679746808042,4.320010281793487,4.352120399475098,872000,0.0,0.0
2004-11-23,4.3521212241081475,4.450920698939303,4.329891283382006,4.441040515899658,1104800,0.0,0.0
2004-11-24,4.445980072021484,4.505259749781544,4.396580104998268,4.445980072021484,907600,0.0,0.0
2004-11-26,4.4212804144811635,4.4212804144811635,4.3101311871536385,4.379290580749512,514400,0.0,0.0
